Membership No  Date Joined  Active  
    40493      2017-11-18   no    
    32302      2020-5-5     no    
    61593      2015-3-14    no    
    17616      2020-9-2     no    
    89704      2020-2-11    no    
    72951      2017-11-1    no    
    20309      2019-2-9     no    
    45623      2019-12-17   no    
    70663      2016-5-22    no    
    86627      2020-12-22   no    
    63194      2018-11-4    no    
    36896      2017-5-15    no    
    41812      2016-9-24    no    
    97673      2016-9-10    no    
    13673      2020-9-19    no    
    38891      2016-5-10    no    
